,ETER ID,English Institution Name,Reference year,Total academic personnel (FTE),Total academic personnel (HC),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,scopus_authors,number_articles,total_eter,state
213,IT0070,University of Rome Tor Vergata,2017,0,1873,31287,7400,1052,415,9666.0,26088.0,40154,Roma
214,IT0072,Marconi University,2017,0,212,9678,1782,64,7,71.0,143.0,11531,Roma
215,IT0075,International Online University UNINETTUNO,2017,0,347,11786,611,0,0,49.0,95.0,12397,Roma
216,IT0077,University of Salerno,2017,0,1172,36230,5501,411,184,4090.0,13452.0,42326,Salerno
217,IT0078,University of Sassari,2017,0,724,13784,2262,200,119,6399.0,17973.0,16365,Sassari
218,IT0079,University of Siena,2017,0,1317,16792,3254,373,95,9562.0,30117.0,20514,Siena
219,IT0081,University of Teramo,2017,0,361,6062,1128,157,35,574.0,1776.0,7382,Teramo
220,IT0082,Politecnico di Torino,2017,0,997,32165,6818,670,225,6585.0,19626.0,39878,Torino
221,IT0083,University of Turin,2017,0,2603,74931,13900,850,350,23703.0,73276.0,90031,Torino
222,IT0085,University of Trento,2017,0,787,16365,3578,589,199,5261.0,13868.0,20731,Trento
223,IT0086,International School for Advanced Studies (SISSA),2017,0,111,0,0,324,64,2749.0,6928.0,388,Trieste
224,IT0087,University of Trieste,2017,0,927,15883,3105,301,123,10434.0,31025.0,19412,Trieste
225,IT0088,University of Udine,2017,0,943,15456,3100,267,114,4725.0,13459.0,18937,Udine
226,IT0089,University of Urbino Carlo Bo,2017,0,665,14366,2923,113,58,1495.0,5293.0,17460,Pesaro E Urbino
227,IT0091,Ca’ Foscari University of Venice,2017,0,738,21197,5614,312,128,1726.0,4815.0,27251,Venezia
228,IT0092,University IUAV of Venice,2017,0,332,4219,1496,119,36,285.0,608.0,5870,Venezia
229,IT0093,"University of Piemonte Orientale ""Amedeo Avogadro""",2017,0,489,12678,2101,105,33,2281.0,6055.0,14917,Vercelli
230,IT0094,University of Verona,2017,0,1240,25416,5565,355,132,8954.0,24321.0,31468,Verona
231,IT0095,University of Tuscia,2017,0,494,8138,1338,142,44,1735.0,5483.0,9662,Viterbo
232,IT0244,Link Campus University,2017,0,341,2221,788,0,0,20.0,26.0,3009,Roma
233,IT0248,Humanitas University,2017,0,84,897,32,35,0,127.0,156.0,964,Pieve Emanuele
234,IT0249,Gran Sasso Science Institute,2017,0,15,0,0,80,0,143.0,211.0,80,L'Aquila
235,VA0001,Pontifical University Antonianum,2017,0,0,0,0,0,0,6.0,11.0,0,Roma
236,VA0002,Pontifical University of the Holy Cross,2017,0,0,0,0,0,0,46.0,54.0,0,Roma
237,VA0003,Pontifical Gregorian University,2017,0,0,0,0,0,0,111.0,152.0,0,Roma
238,VA0009,Pontifical Biblical Institute,2017,0,0,0,0,0,0,25.0,40.0,0,Roma
239,VA0010,Pontifical Oriental Institute,2017,0,0,0,0,0,0,22.0,33.0,0,Roma
240,VA0011,Salesian Pontifical University,2017,0,0,0,0,0,0,29.0,33.0,0,Roma
241,CY0001,University of Cyprus,2016,381,397,6106,1566,659,63,4.0,4.0,8775,Enna
242,IT0001,Marche Polytechnic University,2016,0,726,16038,3187,370,144,4958.0,14571.0,19739,Ancona
243,IT0002,Università della Valle d’Aosta,2016,0,118,1057,189,0,0,44.0,80.0,1246,Aosta
244,IT0003,University of Calabria,2016,0,984,26154,4628,251,70,3656.0,13038.0,31103,Cosenza
245,IT0004,Polytechnic of Bari,2016,0,395,9657,2068,121,39,1468.0,4601.0,11885,Bari
246,IT0005,University of Bari Aldo Moro,2016,0,1710,45936,8196,388,173,12840.0,39695.0,54693,Bari
247,IT0006,University of Sannio,2016,0,267,5128,913,110,32,606.0,1964.0,6183,Benevento
248,IT0008,University of Bergamo,2016,0,538,16958,3115,169,78,631.0,1701.0,20320,Bergamo
249,IT0009,University of Bologna,2016,0,3582,81500,18833,1192,504,26842.0,86129.0,102029,Bologna
